idx,track_a,track_b,pet,frame,verdict
0,22000,2000,0.5998494284158954,81,Y
1,44000,2000,0.699824333151878,44,N
2,60000,2000,0.9330991108691707,44,N
3,65006,2000,0.8331242061331882,107,N
4,15000,7000,1.7995482852476865,73,N
5,17000,7000,0.8664491743785157,74,Y
6,7000,22000,1.8328732534930137,177,Y
7,52000,7000,0.066649936490655,55,Y
8,11000,10000,0.4998745236799128,27,N
9,15000,17000,0.633174396661223,24,N
10,24000,15000,1.2330238250771184,110,Y
11,41000,15000,0.3665746506986028,110,N
12,47001,15000,0.4998745236799128,201,N
13,49000,15000,1.532948539285066,89,N
14,15000,49003,0.9664240791144982,132,N
15,15000,52000,0.8331242061331882,53,N
16,59001,15000,0.6664993649065505,57,N
17,60000,15000,1.4996235710397383,83,N
18,97000,15000,1.7328983487570313,201,N
19,16000,26003,1.9328481582289965,280,N
20,24000,17000,1.532948539285066,210,N
21,26000,17000,1.8328732534930137,170,N
22,17000,29000,1.999498094719652,81,N
23,17000,37000,1.5662735075303935,177,N
24,47001,17000,1.2330238250771184,250,N
25,49002,17000,0.066649936490655,116,N
26,17000,49003,0.0333249682453275,132,Y
27,59001,17000,1.6329234440210487,86,N
28,17000,67000,0.3998996189439303,18,Y
29,81000,17000,0.2332747777172927,224,Y
30,92003,17000,0.9330991108691707,213,N
31,92005,17000,0.5331994919252404,250,N
32,18000,67000,1.0663989838504808,85,Y
33,69000,20000,1.9328481582289965,113,N
34,20000,73001,0.5331994919252404,287,Y
35,91000,20000,0.2665997459626202,172,Y
36,41000,21000,1.6329234440210487,59,N
37,52000,22000,1.999498094719652,113,N
38,22000,65006,0.0333249682453275,87,Y
39,69000,22000,1.5995984757757211,103,Y
40,22000,110000,1.332998729813101,268,Y
41,24000,26000,1.0330740156051532,62,Y
42,32000,24000,0.5665244601705679,38,N
43,24000,41000,1.0330740156051532,81,Y
44,24000,59002,1.3663236980584286,56,N
45,24000,92001,0.8997741426238431,92,N
46,24000,92003,0.9330991108691707,96,N
47,24000,94000,0.0333249682453275,117,Y
48,95000,24000,1.766223317002359,181,N
49,97000,24000,0.5998494284158954,181,N
50,26000,25000,0.2332747777172927,213,Y
51,28000,25000,1.8328732534930137,192,N
52,46002,25000,0.0999749047359825,21,N
53,78000,25000,1.8995231899836689,192,N
54,25000,95000,1.4329736345490836,115,N
55,32000,26000,1.6329234440210487,90,N
56,26000,49003,1.8661982217383413,132,N
57,26000,59002,0.0333249682453275,56,N
58,63000,26000,1.2330238250771184,62,N
59,26000,79000,0.5331994919252404,136,N
60,26000,95000,1.6662484122663763,262,N
61,78000,26003,1.999498094719652,256,N
62,33000,28000,1.1663738885864634,70,Y
63,29000,91000,0.066649936490655,225,Y
64,59002,31000,0.1999498094719651,93,N
65,63000,31000,0.9664240791144982,40,Y
66,32000,60000,0.5331994919252404,159,N
67,32000,81000,1.8661982217383413,199,N
68,32000,94000,0.8664491743785157,117,Y
69,44002,33000,1.4662986027944112,72,N
70,44003,33000,1.3663236980584286,115,N
71,33000,78000,1.0997239520958084,68,N
72,36000,67000,0.5331994919252404,72,Y
73,37000,49003,0.7331493013972056,180,Y
74,40000,73001,0.9997490473598256,76,N
75,63000,41000,1.266348793322446,63,N
76,41000,69000,1.8995231899836689,69,N
77,41000,81000,0.8997741426238431,128,Y
78,41000,92003,0.0999749047359825,102,Y
79,41001,60000,0.633174396661223,178,Y
80,79000,41001,1.1996988568317908,114,N
81,42000,45002,1.1330489203411358,60,N
82,44002,43006,1.6329234440210487,77,N
83,44000,59002,1.5995984757757211,67,N
84,60000,44000,0.1666248412266376,21,Y
85,51000,45002,1.999498094719652,86,N
86,73001,45002,0.7997992378878606,90,N
87,47000,54000,0.4665495554345854,136,Y
88,47001,60000,0.2665997459626202,212,N
89,95000,47001,1.1996988568317908,164,N
90,72001,48000,0.8997741426238431,41,N
91,78000,48000,1.999498094719652,256,N
92,48000,79000,1.2330238250771184,63,N
93,63000,49000,0.3998996189439303,37,Y
94,59002,49002,0.1666248412266376,91,N
95,60000,49002,1.4662986027944112,91,N
96,59002,49003,1.532948539285066,132,N
97,99000,51000,1.8661982217383413,279,N
98,54001,115000,0.7997992378878606,233,N
99,57000,67000,0.9664240791144982,100,Y
100,63000,59002,1.399648666303756,67,N
101,63000,60000,0.3998996189439303,37,Y
102,60000,92003,0.0333249682453275,176,Y
103,95000,60000,1.6662484122663763,178,N
104,71001,80002,0.1999498094719651,118,Y
105,76000,73001,1.0663989838504808,85,N
106,77001,117000,0.2999247142079477,240,Y
107,79000,95000,1.0663989838504808,110,N
108,92001,81000,0.9997490473598256,121,N
109,92003,81000,0.2665997459626202,193,Y
110,94000,81000,1.0663989838504808,151,N
111,94000,92003,0.3998996189439303,131,Y
112,97000,92003,0.7331493013972056,187,N
113,102000,103000,0.066649936490655,206,Y
