event_id,pet,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_b_entry_frame,track_b_exit_frame,site,time_of_day_label,gate_a_entry,gate_b_entry,first_track_id,second_track_id,first_exit_frame,first_exit_time_sec,second_entry_frame,second_entry_time_sec,pet_frames,pet_s,occupancy_relation,run_id,pipeline_version,git_commit,config_hash,fps,pet_method,conflict_zone_coordinate_system,conflict_zone_half_size_m
0,2.865947269098167,264,7000,2000,7,0,2,0,side_swipe,cell_G_3,264,265,155,178,GITI,unspecified,,,2000,7000,178,5.933333333333334,264,8.8,86,2.8666666666666667,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
1,0.5998494284158954,81,22000,2000,22,0,2,0,side_swipe,cell_K_2,81,103,43,63,GITI,unspecified,,,2000,22000,63,2.1,81,2.7,18,0.6,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
2,0.699824333151878,44,44000,2000,44,0,2,0,other,cell_L_2,44,70,21,23,GITI,unspecified,,,2000,44000,23,0.7666666666666667,44,1.4666666666666666,21,0.7,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
3,0.9330991108691707,44,60000,2000,60,0,2,0,head_on,cell_L_2,44,71,15,16,GITI,unspecified,West_Gate,,2000,60000,16,0.5333333333333333,44,1.4666666666666666,28,0.9333333333333332,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
4,0.8331242061331882,107,65006,2000,65,6,2,0,other,cell_K_2,107,123,81,82,GITI,unspecified,,,2000,65006,82,2.7333333333333334,107,3.566666666666667,25,0.8333333333333334,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
5,2.532697586644892,126,6000,8000,6,0,8,0,other,cell_J_4,38,50,126,276,GITI,unspecified,South_Gate,,6000,8000,50,1.6666666666666667,126,4.2,76,2.533333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
6,1.7995482852476865,73,15000,7000,15,0,7,0,other,cell_I_3,73,86,11,19,GITI,unspecified,North_Gate,,7000,15000,19,0.6333333333333333,73,2.433333333333333,54,1.8,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
7,0.8664491743785157,74,17000,7000,17,0,7,0,head_on,cell_I_3,74,87,39,48,GITI,unspecified,North_Gate,,7000,17000,48,1.6,74,2.466666666666667,26,0.8666666666666667,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
8,2.8992722373434945,99,21000,7000,21,0,7,0,head_on,cell_H_3,99,110,0,12,GITI,unspecified,North_Gate,,7000,21000,12,0.4,99,3.3,87,2.9,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
9,1.8328732534930137,177,7000,22000,7,0,22,0,side_swipe,cell_H_3,111,122,177,194,GITI,unspecified,,,7000,22000,122,4.066666666666666,177,5.9,55,1.8333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
