event_id,cell_id,obj_i,obj_j,t_exit_i,t_entry_j,PET
0,CELL_Q_2,26,24,0.1332998729813101,1.6662484122663763,1.5329485392850661
1,CELL_Q_2,26,104,0.1332998729813101,1.6995733805117037,1.5662735075303935
2,CELL_Q_2,56,24,0.3665746506986028,1.6662484122663763,1.2996737615677736
3,CELL_Q_2,56,104,0.3665746506986028,1.6995733805117037,1.332998729813101
4,CELL_Q_2,148,165,5.1986950462710935,6.3983939031028845,1.199698856831791
5,CELL_Q_2,165,266,8.431216966067863,9.364316076937035,0.933099110869172
6,CELL_T_2,3,9,0.5665244601705679,1.1663738885864634,0.5998494284158955
7,CELL_T_2,3,15,0.5665244601705679,2.0661480312103064,1.4996235710397385
8,CELL_T_2,3,26,0.5665244601705679,1.1663738885864634,0.5998494284158955
9,CELL_T_2,3,38,0.5665244601705679,2.332747777172927,1.766223317002359
10,CELL_T_2,3,45,0.5665244601705679,1.9994980947196515,1.4329736345490836
11,CELL_T_2,3,71,0.5665244601705679,1.0997239520958084,0.5331994919252405
12,CELL_T_2,3,106,0.5665244601705679,1.9994980947196515,1.4329736345490836
13,CELL_T_2,9,12,2.0994729994556343,2.999247142079477,0.8997741426238428
14,CELL_T_2,9,12,2.0994729994556343,3.0658970785701323,0.966424079114498
15,CELL_T_2,9,38,2.0994729994556343,2.332747777172927,0.23327477771729255
16,CELL_T_2,12,12,2.999247142079477,3.0658970785701323,0.0666499364906552
17,CELL_T_2,15,12,2.366072745418254,2.999247142079477,0.6331743966612229
18,CELL_T_2,15,12,2.366072745418254,3.0658970785701323,0.6998243331518781
19,CELL_T_2,26,12,1.3663236980584286,2.999247142079477,1.6329234440210485
20,CELL_T_2,26,12,1.3663236980584286,3.0658970785701323,1.6995733805117037
21,CELL_T_2,26,15,1.3663236980584286,2.0661480312103064,0.6998243331518779
22,CELL_T_2,26,38,1.3663236980584286,2.332747777172927,0.9664240791144982
23,CELL_T_2,26,45,1.3663236980584286,1.9994980947196515,0.6331743966612229
24,CELL_T_2,26,106,1.3663236980584286,1.9994980947196515,0.6331743966612229
25,CELL_T_2,45,12,1.8995231899836689,2.999247142079477,1.0997239520958082
26,CELL_T_2,45,12,1.8995231899836689,3.0658970785701323,1.1663738885864634
27,CELL_T_2,45,15,1.8995231899836689,2.0661480312103064,0.16662484122663757
28,CELL_T_2,45,38,1.8995231899836689,2.332747777172927,0.43322458718925794
29,CELL_T_2,45,45,1.8995231899836689,1.9994980947196515,0.09997490473598258
30,CELL_T_2,45,106,1.8995231899836689,1.9994980947196515,0.09997490473598258
31,CELL_T_2,45,12,2.199447904191617,2.999247142079477,0.7997992378878602
32,CELL_T_2,45,12,2.199447904191617,3.0658970785701323,0.8664491743785154
33,CELL_T_2,45,38,2.199447904191617,2.332747777172927,0.13329987298130996
34,CELL_T_2,71,12,2.0661480312103064,2.999247142079477,0.9330991108691706
35,CELL_T_2,71,12,2.0661480312103064,3.0658970785701323,0.9997490473598258
36,CELL_T_2,71,38,2.0661480312103064,2.332747777172927,0.26659974596262037
37,CELL_T_2,106,12,2.166122935946289,2.999247142079477,0.833124206133188
38,CELL_T_2,106,12,2.166122935946289,3.0658970785701323,0.8997741426238433
39,CELL_T_2,106,38,2.166122935946289,2.332747777172927,0.1666248412266378
40,CELL_U_2,3,38,0.699824333151878,1.1330489203411358,0.4332245871892578
41,CELL_U_2,27,3,0.2999247142079477,0.5998494284158954,0.2999247142079477
42,CELL_U_2,27,38,0.2999247142079477,1.1330489203411358,0.833124206133188
43,CELL_U_2,61,38,0.633174396661223,1.1330489203411358,0.4998745236799128
44,CELL_U_2,71,38,1.0663989838504808,1.1330489203411358,0.06664993649065498
45,CELL_U_2,228,318,7.997992378878606,9.96416550535293,1.9661731264743247
46,CELL_U_1,3,15,1.3663236980584286,2.5993475231355467,1.2330238250771182
47,CELL_U_1,3,26,1.3663236980584286,1.7328983487570313,0.36657465069860273
48,CELL_U_1,3,37,1.3663236980584286,2.9659221738341497,1.5995984757757211
49,CELL_U_1,3,56,1.3663236980584286,1.9994980947196515,0.6331743966612229
50,CELL_U_1,12,24,4.132296062420613,5.032070205044456,0.8997741426238433
51,CELL_U_1,12,104,4.132296062420613,5.032070205044456,0.8997741426238433
52,CELL_U_1,15,12,3.1991969515514422,3.532446634004718,0.3332496824532756
53,CELL_U_1,15,24,3.1991969515514422,5.032070205044456,1.8328732534930139
54,CELL_U_1,15,104,3.1991969515514422,5.032070205044456,1.8328732534930139
55,CELL_U_1,26,12,2.3993977136635816,3.532446634004718,1.1330489203411362
56,CELL_U_1,26,15,2.3993977136635816,2.5993475231355467,0.19994980947196517
57,CELL_U_1,26,37,2.3993977136635816,2.9659221738341497,0.5665244601705681
58,CELL_U_1,56,12,2.5993475231355467,3.532446634004718,0.9330991108691711
59,CELL_U_1,56,37,2.5993475231355467,2.9659221738341497,0.36657465069860296
60,CELL_U_1,64,15,1.1330489203411358,2.5993475231355467,1.466298602794411
61,CELL_U_1,64,26,1.1330489203411358,1.7328983487570313,0.5998494284158955
62,CELL_U_1,64,37,1.1330489203411358,2.9659221738341497,1.8328732534930139
63,CELL_U_1,64,56,1.1330489203411358,1.9994980947196515,0.8664491743785157
64,CELL_V_1,3,3,2.2660978406822716,2.332747777172927,0.0666499364906552
65,CELL_V_1,3,12,2.2660978406822716,4.165621030665941,1.899523189983669
66,CELL_V_1,3,15,2.2660978406822716,3.23252191979677,0.9664240791144985
67,CELL_V_1,3,15,2.2660978406822716,3.532446634004718,1.2663487933224462
68,CELL_V_1,3,26,2.2660978406822716,2.4327226819089094,0.1666248412266378
