event_id,pet,frame,track_a,track_b,conflict_type,world_traj_i,world_traj_j
0,0.2999247142079477,,27,3,CELL_U_2,"[(0.0, 730910.375, 222006.6875), (0.033324968245327526, 730910.375, 222006.6875), (0.06664993649065505, 730910.375, 222006.6875), (0.09997490473598257, 730910.375, 222006.6875), (0.1332998729813101, 730910.375, 222006.6875), (0.16662484122663762, 730910.375, 222006.703125), (0.19994980947196514, 730910.375, 222006.703125), (0.2332747777172927, 730910.375, 222006.671875), (0.2665997459626202, 730910.375, 222006.671875), (0.2999247142079477, 730910.3125, 222006.671875)]","[(0.5998494284158954, 730910.25, 222006.671875), (0.633174396661223, 730910.1875, 222006.65625), (0.6664993649065505, 730910.1875, 222006.65625), (0.699824333151878, 730910.1875, 222006.65625)]"
1,0.4332245871892579,,4,8,CELL_Y_1,"[(0.0, 730910.1875, 222006.90625), (0.033324968245327526, 730910.1875, 222006.90625), (0.06664993649065505, 730910.25, 222006.90625), (0.09997490473598257, 730910.25, 222006.890625), (0.1332998729813101, 730910.1875, 222006.890625), (0.16662484122663762, 730910.25, 222006.921875), (0.19994980947196514, 730910.1875, 222006.890625), (0.2332747777172927, 730910.1875, 222006.890625), (0.2665997459626202, 730910.25, 222006.90625), (0.2999247142079477, 730910.3125, 222006.90625), (0.33324968245327524, 730910.3125, 222006.90625), (0.3665746506986028, 730910.25, 222006.875), (0.3998996189439303, 730910.3125, 222006.890625), (0.4332245871892578, 730910.25, 222006.875), (0.4665495554345854, 730910.3125, 222006.890625), (0.49987452367991286, 730910.25, 222006.890625)]","[(0.9330991108691707, 730910.1875, 222006.953125), (0.9664240791144982, 730910.125, 222006.921875)]"
2,0.19994980947196514,,5,41,CELL_D_1,"[(0.0, 730909.875, 222005.75), (0.033324968245327526, 730910.0, 222005.75), (0.06664993649065505, 730910.0, 222005.765625), (0.09997490473598257, 730910.0, 222005.765625), (0.1332998729813101, 730909.9375, 222005.765625), (0.16662484122663762, 730909.9375, 222005.734375), (0.19994980947196514, 730909.9375, 222005.75)]","[(0.3998996189439303, 730909.875, 222005.71875), (0.4332245871892578, 730909.875, 222005.703125), (0.4665495554345854, 730909.8125, 222005.703125), (0.49987452367991286, 730909.8125, 222005.703125), (0.5665244601705679, 730909.875, 222005.71875), (0.5998494284158954, 730909.875, 222005.703125), (0.633174396661223, 730909.9375, 222005.71875), (0.6664993649065505, 730909.8125, 222005.703125), (0.699824333151878, 730909.8125, 222005.703125)]"
3,0.09997490473598256,,5,70,CELL_D_1,"[(0.0, 730909.875, 222005.75), (0.033324968245327526, 730910.0, 222005.75), (0.06664993649065505, 730910.0, 222005.765625), (0.09997490473598257, 730910.0, 222005.765625), (0.1332998729813101, 730909.9375, 222005.765625), (0.16662484122663762, 730909.9375, 222005.734375), (0.19994980947196514, 730909.9375, 222005.75)]","[(0.2999247142079477, 730909.875, 222005.703125), (0.33324968245327524, 730909.8125, 222005.6875), (0.3665746506986028, 730909.875, 222005.703125), (0.3998996189439303, 730909.8125, 222005.703125), (0.4332245871892578, 730909.875, 222005.703125), (0.4665495554345854, 730909.8125, 222005.6875), (0.49987452367991286, 730909.875, 222005.71875), (0.5331994919252404, 730909.875, 222005.703125), (0.5665244601705679, 730909.875, 222005.734375), (0.5998494284158954, 730909.8125, 222005.71875), (0.633174396661223, 730909.875, 222005.75), (0.6664993649065505, 730909.875, 222005.703125)]"
4,0.16662484122663765,,5,74,CELL_D_1,"[(0.0, 730909.875, 222005.75), (0.033324968245327526, 730910.0, 222005.75), (0.06664993649065505, 730910.0, 222005.765625), (0.09997490473598257, 730910.0, 222005.765625), (0.1332998729813101, 730909.9375, 222005.765625), (0.16662484122663762, 730909.9375, 222005.734375), (0.19994980947196514, 730909.9375, 222005.75)]","[(0.3665746506986028, 730909.875, 222005.703125), (0.3998996189439303, 730909.8125, 222005.6875), (0.4332245871892578, 730909.8125, 222005.703125), (0.4665495554345854, 730909.875, 222005.703125), (0.49987452367991286, 730909.8125, 222005.703125), (0.5331994919252404, 730909.875, 222005.703125), (0.5665244601705679, 730909.875, 222005.703125), (0.5998494284158954, 730909.875, 222005.703125), (0.633174396661223, 730909.875, 222005.71875), (0.6664993649065505, 730909.875, 222005.703125), (0.699824333151878, 730909.875, 222005.71875), (0.7331493013972056, 730909.875, 222005.71875), (0.7664742696425331, 730909.8125, 222005.71875), (0.7997992378878606, 730909.875, 222005.71875), (0.8331242061331882, 730909.9375, 222005.734375), (0.8664491743785157, 730909.875, 222005.703125), (0.8997741426238431, 730909.875, 222005.71875), (0.9330991108691707, 730909.875, 222005.734375), (0.9664240791144982, 730909.875, 222005.71875)]"
5,0.7331493013972056,,5,88,CELL_D_1,"[(0.0, 730909.875, 222005.75), (0.033324968245327526, 730910.0, 222005.75), (0.06664993649065505, 730910.0, 222005.765625), (0.09997490473598257, 730910.0, 222005.765625), (0.1332998729813101, 730909.9375, 222005.765625), (0.16662484122663762, 730909.9375, 222005.734375), (0.19994980947196514, 730909.9375, 222005.75)]","[(0.9330991108691707, 730909.9375, 222005.734375), (0.9664240791144982, 730909.9375, 222005.75)]"
6,0.23327477771729277,,41,88,CELL_D_1,"[(0.3998996189439303, 730909.875, 222005.71875), (0.4332245871892578, 730909.875, 222005.703125), (0.4665495554345854, 730909.8125, 222005.703125), (0.49987452367991286, 730909.8125, 222005.703125), (0.5665244601705679, 730909.875, 222005.71875), (0.5998494284158954, 730909.875, 222005.703125), (0.633174396661223, 730909.9375, 222005.71875), (0.6664993649065505, 730909.8125, 222005.703125), (0.699824333151878, 730909.8125, 222005.703125)]","[(0.9330991108691707, 730909.9375, 222005.734375), (0.9664240791144982, 730909.9375, 222005.75)]"
7,0.26659974596262026,,70,88,CELL_D_1,"[(0.2999247142079477, 730909.875, 222005.703125), (0.33324968245327524, 730909.8125, 222005.6875), (0.3665746506986028, 730909.875, 222005.703125), (0.3998996189439303, 730909.8125, 222005.703125), (0.4332245871892578, 730909.875, 222005.703125), (0.4665495554345854, 730909.8125, 222005.6875), (0.49987452367991286, 730909.875, 222005.71875), (0.5331994919252404, 730909.875, 222005.703125), (0.5665244601705679, 730909.875, 222005.734375), (0.5998494284158954, 730909.8125, 222005.71875), (0.633174396661223, 730909.875, 222005.75), (0.6664993649065505, 730909.875, 222005.703125)]","[(0.9330991108691707, 730909.9375, 222005.734375), (0.9664240791144982, 730909.9375, 222005.75)]"
8,0.09997490473598258,,5,91,CELL_E_1,"[(0.2332747777172927, 730910.0, 222005.78125), (0.2665997459626202, 730909.9375, 222005.75), (0.2999247142079477, 730910.0, 222005.75), (0.33324968245327524, 730910.0, 222005.78125), (0.3665746506986028, 730909.9375, 222005.75), (0.3998996189439303, 730910.0, 222005.765625), (0.4332245871892578, 730910.0, 222005.765625), (0.4665495554345854, 730910.0, 222005.765625), (0.49987452367991286, 730910.0, 222005.765625), (0.5331994919252404, 730910.0, 222005.765625), (0.5665244601705679, 730910.0, 222005.765625), (0.5998494284158954, 730909.9375, 222005.765625), (0.633174396661223, 730910.0625, 222005.78125), (0.6664993649065505, 730910.0625, 222005.78125), (0.699824333151878, 730910.0625, 222005.78125), (0.7331493013972056, 730910.0625, 222005.78125), (0.7664742696425331, 730910.0, 222005.78125), (0.7997992378878606, 730910.0625, 222005.78125), (0.8331242061331882, 730910.0, 222005.796875), (0.8664491743785157, 730909.9375, 222005.765625)]","[(0.9664240791144982, 730910.0, 222005.75)]"
9,0.06664993649065505,,10,10,CELL_D_3,"[(0.0, 730910.3125, 222005.734375), (0.033324968245327526, 730910.3125, 222005.75), (0.06664993649065505, 730910.3125, 222005.75), (0.09997490473598257, 730910.3125, 222005.75)]","[(0.16662484122663762, 730910.3125, 222005.765625), (0.19994980947196514, 730910.3125, 222005.765625), (0.2332747777172927, 730910.25, 222005.765625)]"
