idx,track_a,track_b,pet,frame,angle_fl,angle_world,consist_a,consist_b,max_gap_40,max_jump,n_a,n_b,max_p95,max_p99,max_frac,decel_max,pred_min_sep,pred_t_min,verdict,is_N
0,22000,2000,0.5998494284158954,81,0.0197627145117849,0.0306707525651575,28.03414183918343,6.491115913535887,1,48.23684950474152,253,266,4.136300125106755,6.241978111700165,0.0037735849056603,0.0031611459239771,1.357887836310039,0.0,Y,0
1,44000,2000,0.699824333151878,44,,,,10.21387687204546,41,70.6676313624057,22,266,12.719134215146262,59.07793193295385,0.0476190476190476,-0.0035420671822314,,,N,1
2,60000,2000,0.9330991108691707,44,173.48552273813726,171.20274075615924,21.635518640901303,10.21387687204546,4,59.30343763463081,278,266,3.5600235460602203,37.66406653552698,0.0180505415162454,0.0026372123673973,1.360830417563854,0.0,N,1
3,65006,2000,0.8331242061331882,107,,,,7.5410661775462176,38,51.30923919129504,13,266,25.12689371939396,46.07277009691485,0.0833333333333333,-0.0093664620064244,,,N,1
4,15000,7000,1.7995482852476865,73,163.41526053954087,154.7443143103633,9.054871367736515,14.367802736087183,0,52.81292686647334,253,284,5.087038924559702,8.351108231824067,0.0040485829959514,0.017669677207838,3.881077475892482,0.0,N,1
5,17000,7000,0.8664491743785157,74,175.42821354060533,172.60917753601467,19.733553063020477,11.654909838064055,1,13.109775710256974,275,284,5.9526638254001725,10.097612179965813,0.0,0.0516804384747712,1.9974120804805524,0.0,Y,0
6,7000,22000,1.8328732534930137,177,12.49192402177684,21.16044920788332,11.390267260193497,8.98355685684478,0,11.06004434932014,284,253,4.309321796519318,8.351108231824067,0.0,0.0043264488412147,1.9559446526286952,60.0,Y,0
7,52000,7000,0.066649936490655,55,57.68742673065006,79.06814582277028,36.12144460477417,31.675370395785656,22,53.99946545849559,37,284,4.309321796519318,36.96359033359305,0.0294117647058823,-0.0118456242275186,0.4351598512129375,0.0,Y,0
8,11000,10000,0.4998745236799128,27,,,,8.708318906914137,34,5.400896674655831,14,40,5.14513717920312,5.389152609642965,0.0,0.0329376885688405,,,N,1
9,15000,17000,0.633174396661223,24,1.6210500063781978,2.125106163865638,8.873585768985064,12.196618495939289,0,52.81292686647334,253,275,5.9526638254001725,10.097612179965813,0.0040485829959514,0.0263996713135045,2.3291318316907925,0.0,N,1
10,24000,15000,1.2330238250771184,110,1.436802233467688,1.8853443833572427,15.45547804512547,35.692666877542145,6,52.81292686647334,223,253,5.087038924559702,43.01709413176555,0.0184331797235023,0.0350426623198719,0.103646264927492,15.0,Y,0
11,41000,15000,0.3665746506986028,110,14.158671851926158,20.714306118648494,8.83583145089282,35.692666877542145,22,60.155972935888656,102,253,6.265380799117707,22.85456424930801,0.0099009900990099,0.0350426623198719,0.1850034498988646,10.0,N,1
12,47001,15000,0.4998745236799128,201,78.99595672428191,60.49192586612119,23.55834961255828,55.08828632997301,9,52.81292686647334,135,253,5.087038924559702,7.69568400008142,0.0040485829959514,-0.0010390888131651,0.8701887267344527,4.0,N,1
